;cidade;area;quartos;banheiro;estacionamento;andar;aceita animal?;mobilhado;valor condomínio (R$);valor do aluguel (R$);imposto do imóvel (R$);seguro fiança (R$);total (R$);valores mensais (R$);valores anuais (R$)
1443;Rio de Janeiro;190;4;3;2;17;aceita;mobilhado;2500;9300;375;120;12300;11800;142095
1444;Porto Alegre;42;1;1;0;10;aceita;sem mobilha;32000;700;40;11;32750;32700;392451
1445;São Paulo;40;1;1;1;6;não aceita;sem mobilha;765;2500;34;32;3331;3265;39246
1446;Rio de Janeiro;312;4;4;3;13;aceita;sem mobilha;4000;15000;1084;194;20280;19000;229278
1447;São Paulo;106;2;1;2;-;não aceita;sem mobilha;0;2100;110;32;2242;2100;25342
1448;Campinas;110;3;3;2;-;aceita;sem mobilha;560;3700;88;56;4404;4260;51264
1449;São Paulo;384;5;5;3;13;aceita;sem mobilha;4000;8000;1240;102;13340;12000;145342
1450;Porto Alegre;69;2;1;0;2;aceita;sem mobilha;240;1200;410;18;1868;1440;17708
1451;São Paulo;82;2;2;0;13;aceita;mobilhado;800;4500;38;58;5396;5300;63696
1452;Belo Horizonte;500;7;6;3;-;aceita;sem mobilha;0;15000;384;246;15630;15000;180630
1453;São Paulo;130;3;2;1;12;aceita;sem mobilha;1267;4500;334;58;6159;5767;69596
1454;São Paulo;55;1;1;0;-;aceita;sem mobilha;0;1500;138;23;1661;1500;18161
1455;São Paulo;170;4;4;2;4;não aceita;sem mobilha;1411;2800;417;36;4664;4211;50985
1456;Campinas;183;4;2;0;-;aceita;sem mobilha;920;2400;238;37;3595;3320;40115
1457;São Paulo;336;3;5;3;-;aceita;mobilhado;299;6000;208;91;6598;6299;75887
1458;São Paulo;45;1;1;1;1;não aceita;mobilhado;3000;5520;0;70;8590;8520;102310
1459;São Paulo;40;1;1;0;3;aceita;mobilhado;350;1700;40;22;2112;2050;24662
1460;Belo Horizonte;45;3;1;0;-;aceita;sem mobilha;0;1300;127;22;1449;1300;15749
1461;Rio de Janeiro;180;3;3;0;-;aceita;sem mobilha;20;2550;170;39;2779;2570;31049
1462;São Paulo;23;1;1;0;23;aceita;sem mobilha;399;2100;42;27;2568;2499;30057
1463;Porto Alegre;53;1;1;0;2;aceita;sem mobilha;277;500;20;8;805;777;9352
1464;São Paulo;100;2;2;1;6;aceita;sem mobilha;1050;4000;240;51;5341;5050;60891
1465;São Paulo;400;4;5;4;8;aceita;mobilhado;3884;8700;1671;111;14370;12584;152790
1466;Rio de Janeiro;92;1;3;1;10;não aceita;sem mobilha;1450;2720;365;36;4571;4170;50441
1467;Belo Horizonte;420;6;4;0;5;aceita;sem mobilha;927;3500;405;47;4879;4427;53576
1468;Rio de Janeiro;78;3;1;1;14;não aceita;mobilhado;900;2800;100;37;3837;3700;44537
1469;São Paulo;70;2;1;1;11;não aceita;mobilhado;500;1800;5;23;2328;2300;27628
1470;Campinas;500;6;5;8;-;aceita;sem mobilha;0;8000;625;121;8746;8000;96746
1471;São Paulo;130;3;4;2;3;não aceita;mobilhado;2500;2000;667;26;5193;4500;54693
1472;Rio de Janeiro;24;1;1;0;12;não aceita;sem mobilha;445;2000;42;26;2513;2445;29408
1473;São Paulo;125;2;1;1;11;aceita;sem mobilha;700;2000;63;26;2789;2700;32489
1474;São Paulo;242;3;4;2;2;aceita;sem mobilha;2200;4500;952;58;7710;6700;81410
1475;São Paulo;69;3;1;1;1;aceita;sem mobilha;413;1199;0;16;1628;1612;19360
1476;São Paulo;135;2;2;1;8;aceita;mobilhado;1063;3250;159;42;4514;4313;51957
1477;Belo Horizonte;43;2;1;1;2;aceita;sem mobilha;199;620;100;9;928;819;9937
1478;São Paulo;565;4;5;6;-;aceita;mobilhado;2337;14850;2112;224;19520;17187;208580
1479;Porto Alegre;62;2;1;1;6;não aceita;sem mobilha;485;1296;54;19;1854;1781;21445
1480;Belo Horizonte;112;4;1;2;-;aceita;sem mobilha;0;1900;212;32;2144;1900;23044
1481;São Paulo;31;1;1;1;14;aceita;sem mobilha;478;2500;75;32;3085;2978;35843
1482;São Paulo;89;3;3;0;9;aceita;mobilhado;990;3550;84;45;4669;4540;54609
1483;Porto Alegre;100;2;2;0;-;aceita;sem mobilha;0;2200;0;40;2240;2200;26440
1484;São Paulo;65;2;1;0;24;aceita;mobilhado;650;6000;200;77;6927;6650;80077
1485;Campinas;60;3;2;0;2;aceita;sem mobilha;350;2362;88;30;2830;2712;32662
1486;Porto Alegre;75;3;2;1;3;não aceita;mobilhado;450;1950;98;29;2527;2400;28927
1487;Porto Alegre;41;1;1;1;2;aceita;sem mobilha;540;1150;35;17;1742;1690;20332
1488;São Paulo;100;2;1;0;1;aceita;mobilhado;765;3300;0;42;4107;4065;48822
1489;São Paulo;288;3;2;2;-;aceita;sem mobilha;0;3700;457;56;4213;3700;44913
1490;São Paulo;400;5;6;0;-;aceita;sem mobilha;0;5200;0;79;5279;5200;62479
1491;São Paulo;240;3;2;1;-;aceita;sem mobilha;0;15000;667;226;15890;15000;180893
1492;São Paulo;80;1;1;1;-;aceita;sem mobilha;0;1150;75;18;1243;1150;13893
1493;Campinas;43;2;1;1;-;aceita;sem mobilha;274;1000;7;13;1294;1274;15308
1494;São Paulo;25;1;1;0;1;não aceita;sem mobilha;0;1200;35;16;1251;1200;14451
1495;São Paulo;49;2;1;1;17;não aceita;mobilhado;665;2000;100;26;2791;2665;32106
1496;São Paulo;40;1;1;0;-;não aceita;sem mobilha;0;970;63;15;1048;970;11718
1497;Porto Alegre;71;2;1;0;2;aceita;sem mobilha;0;1500;0;22;1522;1500;18022
1498;São Paulo;50;2;1;0;10;aceita;sem mobilha;450;1430;25;19;1924;1880;22604
1499;São Paulo;44;1;1;0;-;aceita;mobilhado;0;1800;125;28;1953;1800;21753
1500;São Paulo;400;4;2;8;-;aceita;sem mobilha;0;7200;117;109;7426;7200;86626
1501;Porto Alegre;225;3;3;2;3;aceita;sem mobilha;1100;3800;192;56;5148;4900;59048
1502;Rio de Janeiro;82;3;2;2;4;aceita;sem mobilha;967;2200;92;29;3288;3167;38125
1503;São Paulo;102;3;1;1;-;aceita;sem mobilha;0;1760;0;27;1787;1760;21147
1504;Porto Alegre;981;3;2;4;-;aceita;mobilhado;0;7000;4500;125;11630;7000;88625
1505;Rio de Janeiro;25;1;1;0;-;aceita;sem mobilha;50;700;0;10;760;750;9010
1506;São Paulo;230;3;4;0;16;aceita;mobilhado;1700;3000;700;39;5439;4700;57139
1507;São Paulo;280;3;4;3;3;aceita;sem mobilha;1717;5200;250;66;7233;6917;83320
1508;São Paulo;69;3;1;1;8;aceita;sem mobilha;650;1350;84;18;2102;2000;24102
1509;Rio de Janeiro;58;1;2;0;5;aceita;sem mobilha;700;1600;90;21;2411;2300;27711
1510;Campinas;58;1;1;0;3;aceita;sem mobilha;500;1050;38;14;1602;1550;18652
1511;Campinas;64;2;1;1;-;aceita;sem mobilha;441;730;18;10;1199;1171;14080
1512;São Paulo;84;3;1;1;6;aceita;sem mobilha;670;2180;100;28;2978;2850;34328
1513;Rio de Janeiro;35;1;1;0;7;não aceita;sem mobilha;450;1100;21;15;1586;1550;18636
1514;Rio de Janeiro;78;2;1;0;5;aceita;sem mobilha;850;1600;94;21;2565;2450;29515
1515;São Paulo;55;2;1;2;4;não aceita;sem mobilha;780;980;142;13;1915;1760;21275
1516;São Paulo;250;4;5;4;5;aceita;mobilhado;3500;15000;1540;191;20230;18500;223731
1517;Rio de Janeiro;110;3;2;0;7;não aceita;sem mobilha;1100;4860;300;63;6323;5960;71883
1518;São Paulo;206;2;1;3;-;aceita;sem mobilha;0;3500;214;53;3767;3500;42267
1519;São Paulo;150;3;4;1;-;aceita;sem mobilha;0;4250;491;64;4805;4250;51555
1520;São Paulo;180;4;3;2;11;aceita;mobilhado;1880;9000;460;115;11460;10880;131135
1521;São Paulo;330;4;5;4;-;aceita;sem mobilha;0;6500;750;98;7348;6500;78848
1522;São Paulo;68;1;1;0;-;não aceita;sem mobilha;0;1100;0;17;1117;1100;13217
1523;São Paulo;280;4;4;4;6;não aceita;mobilhado;3200;6000;100;77;9377;9200;110577
1524;Campinas;85;3;2;1;7;aceita;sem mobilha;915;1500;63;20;2498;2415;29063
1525;São Paulo;55;2;1;0;1;aceita;sem mobilha;340;1530;0;20;1890;1870;22460
1526;São Paulo;90;3;2;1;13;não aceita;sem mobilha;1100;2800;25;36;3961;3900;46861
1527;Belo Horizonte;96;3;1;1;-;não aceita;sem mobilha;0;1200;34;20;1254;1200;14454
1528;Belo Horizonte;250;4;1;8;-;aceita;sem mobilha;0;2125;231;35;2391;2125;25766
1529;Porto Alegre;80;2;2;1;2;aceita;sem mobilha;500;1800;100;27;2427;2300;27727
1530;Porto Alegre;41;1;2;1;9;aceita;sem mobilha;400;2800;67;41;3308;3200;38508
1531;São Paulo;75;2;1;3;5;não aceita;sem mobilha;700;2500;250;32;3482;3200;38682
1532;São Paulo;800;7;7;8;-;aceita;sem mobilha;0;9000;3000;136;12140;9000;111136
1533;Rio de Janeiro;45;1;1;0;5;aceita;sem mobilha;750;1000;34;13;1797;1750;21047
1534;São Paulo;74;2;2;2;17;aceita;sem mobilha;1000;5000;120;64;6184;6000;72184
1535;Belo Horizonte;160;4;3;2;-;aceita;sem mobilha;0;3700;143;61;3904;3700;44604
1536;São Paulo;50;1;1;0;3;aceita;sem mobilha;400;1500;59;20;1979;1900;22879
1537;São Paulo;126;2;3;1;9;aceita;mobilhado;2000;10000;317;127;12440;12000;144444
1538;Rio de Janeiro;65;1;1;1;6;não aceita;mobilhado;1100;4000;434;52;5586;5100;61686
1539;São Paulo;120;3;2;2;8;aceita;sem mobilha;740;4000;238;51;5029;4740;57169
1540;Belo Horizonte;150;4;2;2;8;aceita;sem mobilha;730;4200;396;56;5382;4930;59612
1541;Campinas;76;1;1;1;1;não aceita;mobilhado;969;2500;130;32;3631;3469;41790
1542;São Paulo;226;4;5;4;1;aceita;sem mobilha;4360;15000;2242;191;21790;19360;234753
1543;São Paulo;22;1;1;0;-;não aceita;sem mobilha;0;976;0;15;991;976;11727
1544;Campinas;154;3;3;1;14;não aceita;sem mobilha;1700;6500;0;83;8283;8200;98483
1545;São Paulo;56;2;2;2;1;aceita;sem mobilha;480;1630;42;21;2173;2110;25383
1546;Belo Horizonte;212;3;5;4;-;aceita;sem mobilha;0;4200;393;69;4662;4200;50862
1547;São Paulo;62;3;2;1;4;aceita;sem mobilha;400;1300;75;17;1792;1700;20492
1548;Rio de Janeiro;80;2;2;2;3;não aceita;sem mobilha;4200;7800;327;101;12430;12000;144428
1549;São Paulo;420;4;4;4;7;aceita;sem mobilha;6000;12000;2000;153;20150;18000;218153
1550;Porto Alegre;32;1;1;0;-;aceita;mobilhado;230;750;23;11;1014;980;11794
1551;São Paulo;30;1;1;1;9;não aceita;sem mobilha;0;3000;0;39;3039;3000;36039
1552;Campinas;70;2;2;0;5;não aceita;sem mobilha;0;1000;62;16;1078;1000;12078
1553;São Paulo;200;3;3;2;-;não aceita;sem mobilha;0;6000;750;91;6841;6000;72841
1554;São Paulo;25;1;1;0;2;aceita;sem mobilha;105;1330;0;17;1452;1435;17237
1555;São Paulo;42;1;1;1;9;aceita;mobilhado;768;3696;17;47;4528;4464;53632
1556;São Paulo;135;3;3;2;1;aceita;mobilhado;1650;4250;584;54;6538;5900;71438
1557;Porto Alegre;47;1;1;0;3;aceita;sem mobilha;250;900;38;14;1202;1150;13852
1558;Porto Alegre;35;1;1;0;3;aceita;mobilhado;200;880;15;13;1108;1080;12988
1559;São Paulo;75;3;2;0;12;não aceita;mobilhado;800;2236;64;29;3129;3036;36525
1560;São Paulo;300;2;2;0;-;aceita;mobilhado;0;3000;292;46;3338;3000;36338
1561;São Paulo;45;1;1;1;14;não aceita;mobilhado;2200;2300;167;30;4697;4500;54197
1562;Belo Horizonte;850;5;7;8;-;aceita;sem mobilha;0;10000;1;164;10170;10000;120165
1563;Porto Alegre;140;3;2;2;3;aceita;sem mobilha;686;3000;250;44;3980;3686;44526
1564;São Paulo;60;2;1;0;-;não aceita;sem mobilha;0;1222;0;19;1241;1222;14683
1565;São Paulo;50;1;1;0;-;não aceita;sem mobilha;0;1250;34;19;1303;1250;15053
1566;Campinas;150;4;5;2;1;aceita;sem mobilha;1100;2860;360;37;4357;3960;47917
1567;São Paulo;160;3;2;1;1;aceita;sem mobilha;185;7693;223;116;8217;7878;94875
1568;São Paulo;334;3;3;8;-;aceita;sem mobilha;0;8600;209;130;8939;8600;103539
1569;São Paulo;330;4;3;0;-;aceita;sem mobilha;0;9800;750;148;10700;9800;118498
1570;Porto Alegre;38;1;1;0;4;aceita;mobilhado;190;1800;20;27;2037;1990;23927
1571;Belo Horizonte;280;4;7;4;6;não aceita;sem mobilha;350;3000;642;40;4032;3350;40882
1572;São Paulo;200;3;3;2;12;aceita;sem mobilha;2000;6500;417;83;9000;8500;102500
1573;São Paulo;100;4;5;2;7;aceita;sem mobilha;2400;8500;500;108;11510;10900;131408
1574;Rio de Janeiro;80;2;1;0;2;aceita;mobilhado;515;1400;101;19;2035;1915;23100
1575;São Paulo;267;3;6;6;-;aceita;sem mobilha;0;4800;470;73;5343;4800;58143
1576;Rio de Janeiro;130;3;1;1;2;aceita;sem mobilha;1000;3500;184;46;4730;4500;54230
1577;Belo Horizonte;70;2;3;1;12;aceita;mobilhado;700;2450;165;33;3348;3150;37998
1578;São Paulo;213;3;5;5;10;aceita;sem mobilha;3800;6200;0;79;10080;10000;120079
1579;São Paulo;35;1;1;0;-;não aceita;sem mobilha;0;780;40;12;832;780;9412
1580;Belo Horizonte;312;4;5;4;15;aceita;sem mobilha;3150;15000;1747;200;20100;18150;219747
1581;São Paulo;160;3;4;3;4;aceita;sem mobilha;2087;2500;298;32;4917;4587;55374
1582;São Paulo;22;1;1;0;26;aceita;sem mobilha;295;2000;44;26;2365;2295;27610
1583;São Paulo;400;4;4;3;1;aceita;mobilhado;3000;10000;0;127;13130;13000;156127
1584;São Paulo;45;1;2;1;11;aceita;sem mobilha;495;2100;99;27;2721;2595;31266
1585;São Paulo;237;4;4;0;13;não aceita;sem mobilha;3168;8000;1031;102;12300;11168;135149
1586;São Paulo;180;3;3;0;-;aceita;sem mobilha;0;13000;715;196;13910;13000;156911
1587;São Paulo;30;1;1;0;2;não aceita;sem mobilha;349;1805;0;23;2177;2154;25871
1588;São Paulo;13;1;1;0;2;aceita;sem mobilha;0;2200;42;28;2270;2200;26470
1589;São Paulo;140;4;4;2;-;aceita;mobilhado;0;6800;107;103;7010;6800;81810
1590;Belo Horizonte;62;2;1;1;3;aceita;sem mobilha;100;1050;84;14;1248;1150;13898
1591;Rio de Janeiro;76;2;1;0;3;aceita;sem mobilha;625;1000;50;13;1688;1625;19563
1592;São Paulo;220;3;4;4;15;aceita;sem mobilha;1587;4250;711;54;6602;5837;70809
1593;Campinas;143;3;3;2;6;aceita;sem mobilha;1600;3300;250;42;5192;4900;59092
1594;Campinas;44;2;1;0;2;aceita;sem mobilha;272;650;0;9;931;922;11073
1595;São Paulo;90;3;2;1;10;aceita;sem mobilha;934;1450;65;19;2468;2384;28692
1596;Belo Horizonte;190;4;3;3;10;aceita;mobilhado;1384;4800;357;64;6605;6184;74629
1597;São Paulo;79;2;3;1;14;aceita;sem mobilha;2500;3100;500;40;6140;5600;67740
1598;São Paulo;45;1;1;2;8;aceita;sem mobilha;695;1800;170;23;2688;2495;30133
1599;Campinas;73;3;2;2;17;aceita;sem mobilha;570;2400;125;31;3126;2970;35796
1600;São Paulo;168;3;4;5;7;aceita;mobilhado;1610;3600;190;46;5446;5210;62756
1601;São Paulo;95;3;2;3;20;não aceita;sem mobilha;687;2500;41;32;3260;3187;38317
1602;Porto Alegre;180;2;2;1;4;aceita;sem mobilha;170;2001;25;30;2226;2171;26107
1603;Porto Alegre;65;2;2;0;5;não aceita;sem mobilha;485;1390;87;21;1983;1875;22608
1604;Belo Horizonte;110;4;2;0;-;aceita;sem mobilha;0;1850;0;31;1881;1850;22231
1605;São Paulo;58;1;1;1;13;aceita;mobilhado;750;4700;200;60;5710;5450;65660
1606;Belo Horizonte;15;1;1;0;-;aceita;sem mobilha;45;665;0;9;719;710;8529
1607;São Paulo;213;4;3;5;-;aceita;sem mobilha;0;3900;298;59;4257;3900;47157
1608;São Paulo;162;4;4;3;7;não aceita;sem mobilha;1500;5500;891;70;7961;7000;84961
1609;São Paulo;49;1;1;0;12;não aceita;mobilhado;443;3800;89;49;4381;4243;51054
1610;São Paulo;32;1;1;0;2;aceita;sem mobilha;0;1400;0;18;1418;1400;16818
1611;Belo Horizonte;78;3;2;2;16;aceita;sem mobilha;875;2300;229;31;3435;3175;38360
1612;Porto Alegre;240;4;4;2;-;aceita;sem mobilha;0;5000;630;89;5719;5000;60719
1613;Campinas;150;3;2;1;-;aceita;sem mobilha;0;1320;167;20;1507;1320;16027
1614;Belo Horizonte;60;2;1;1;2;aceita;sem mobilha;275;1200;97;16;1588;1475;17813
1615;Belo Horizonte;160;3;2;3;4;não aceita;sem mobilha;460;3500;177;47;4184;3960;47744
1616;São Paulo;74;2;2;2;7;aceita;sem mobilha;1100;3400;163;44;4707;4500;54207
1617;São Paulo;280;4;4;8;-;aceita;sem mobilha;0;7040;688;106;7834;7040;85274
1618;Porto Alegre;42;1;1;0;6;não aceita;sem mobilha;320;850;21;13;1204;1170;14074
1619;Porto Alegre;102;3;2;5;-;aceita;sem mobilha;0;2975;103;53;3131;2975;35856
1620;São Paulo;123;3;2;2;11;aceita;sem mobilha;1342;2174;283;28;3827;3516;42503
1621;Porto Alegre;50;2;1;1;-;aceita;sem mobilha;0;1000;25;18;1043;1000;12043
1622;São Paulo;125;3;2;2;-;aceita;sem mobilha;0;1700;5;26;1731;1700;20431
1623;Porto Alegre;240;3;2;4;-;aceita;sem mobilha;0;5500;500;98;6098;5500;66598
1624;São Paulo;85;3;2;3;3;aceita;mobilhado;1100;1999;153;26;3278;3099;37367
1625;Belo Horizonte;260;4;5;4;5;aceita;sem mobilha;2405;15000;153;200;17760;17405;209213
1626;São Paulo;22;1;1;0;-;não aceita;sem mobilha;0;870;0;14;884;870;10454
1627;São Paulo;278;3;2;1;11;aceita;sem mobilha;2640;7800;601;99;11140;10440;125980
1628;São Paulo;18;1;1;0;8;aceita;sem mobilha;400;1130;30;15;1575;1530;18405
1629;Rio de Janeiro;196;3;4;1;11;aceita;sem mobilha;1500;5500;500;71;7571;7000;84571
1630;São Paulo;26;1;1;0;3;aceita;sem mobilha;200;3500;1;45;3746;3700;44446
1631;São Paulo;100;4;2;2;-;aceita;sem mobilha;0;3500;42;53;3595;3500;42095
1632;São Paulo;460;4;3;6;8;aceita;sem mobilha;4400;10000;1667;127;16190;14400;174594
1633;São Paulo;189;4;3;2;5;não aceita;mobilhado;2300;6500;584;83;9467;8800;106267
1634;São Paulo;226;3;3;0;-;aceita;mobilhado;0;6000;34;91;6125;6000;72125
1635;São Paulo;418;2;4;3;17;não aceita;sem mobilha;5274;6875;117;88;12350;12149;145993
1636;Campinas;660;5;5;4;-;aceita;sem mobilha;1400;5000;1000;76;7476;6400;77876
1637;Campinas;120;1;2;1;-;aceita;sem mobilha;0;1112;0;17;1129;1112;13361
1638;São Paulo;70;2;1;1;1;aceita;sem mobilha;484;1100;20;14;1618;1584;19042
1639;São Paulo;400;10;5;8;-;aceita;sem mobilha;0;10900;1417;164;12480;10900;132381
1640;Campinas;82;3;3;2;4;aceita;sem mobilha;550;1500;153;20;2223;2050;24773
1641;São Paulo;210;3;4;4;11;aceita;mobilhado;2000;15000;1000;191;18190;17000;205191
1642;São Paulo;92;3;2;2;11;aceita;sem mobilha;660;1900;105;25;2690;2560;30850
1643;Belo Horizonte;64;3;1;0;3;não aceita;sem mobilha;215;1400;27;19;1661;1615;19426
1644;Porto Alegre;35;2;1;0;1;não aceita;mobilhado;0;1350;0;20;1370;1350;16220
1645;São Paulo;120;2;2;2;-;aceita;sem mobilha;0;2690;226;41;2957;2690;32547
1646;São Paulo;16;1;1;0;1;não aceita;sem mobilha;0;1200;59;16;1275;1200;14475
1647;Porto Alegre;60;2;1;0;2;aceita;sem mobilha;300;950;0;14;1264;1250;15014
1648;Campinas;223;3;5;2;2;aceita;sem mobilha;1400;3300;290;42;5032;4700;56732
1649;São Paulo;50;1;1;0;-;não aceita;sem mobilha;0;800;0;13;813;800;9613
1650;Porto Alegre;30;1;1;0;5;aceita;sem mobilha;400;940;35;14;1389;1340;16129
1651;São Paulo;111;2;2;1;14;não aceita;sem mobilha;1400;3500;175;45;5120;4900;59020
1652;São Paulo;290;4;3;2;1;não aceita;mobilhado;2890;7150;862;91;10990;10040;121433
1653;Campinas;80;3;1;1;1;aceita;sem mobilha;380;1328;50;10;1768;1708;20556
1654;São Paulo;353;4;5;5;46;aceita;sem mobilha;3000;10000;0;127;13130;13000;156127
1655;São Paulo;55;2;1;1;18;aceita;sem mobilha;635;1990;80;26;2731;2625;31606
1656;Campinas;49;2;1;1;1;aceita;sem mobilha;263;1000;38;13;1314;1263;15207
1657;Rio de Janeiro;50;2;1;0;4;aceita;sem mobilha;450;850;21;11;1332;1300;15632
1658;São Paulo;182;4;4;2;10;aceita;sem mobilha;2965;6000;605;77;9647;8965;108262
1659;São Paulo;42;1;1;1;9;aceita;mobilhado;565;3800;24;49;4438;4365;52453
1660;São Paulo;500;5;7;5;22;aceita;sem mobilha;5500;14000;2084;178;21760;19500;236262
1661;São Paulo;56;1;1;0;-;não aceita;sem mobilha;0;1200;48;19;1267;1200;14467
1662;Rio de Janeiro;170;3;2;1;9;aceita;sem mobilha;2000;4600;384;60;7044;6600;79644
1663;São Paulo;160;3;3;2;8;aceita;sem mobilha;2000;5000;570;64;7634;7000;84634
1664;São Paulo;70;1;1;2;-;aceita;sem mobilha;0;1300;63;20;1383;1300;15683
1665;Campinas;120;2;1;4;-;aceita;sem mobilha;0;2400;59;37;2496;2400;28896
1666;Rio de Janeiro;65;2;1;1;3;aceita;mobilhado;550;1650;0;22;2222;2200;26422
1667;São Paulo;300;4;4;6;7;não aceita;mobilhado;4000;5500;1180;70;10750;9500;115250
1668;São Paulo;140;3;2;2;8;aceita;mobilhado;1050;12000;209;153;13410;13050;156962
1669;São Paulo;108;2;3;2;-;aceita;sem mobilha;450;2100;250;32;2832;2550;30882
1670;Porto Alegre;220;3;3;4;-;aceita;sem mobilha;0;2500;2360;45;4905;2500;32405
1671;São Paulo;157;3;3;4;19;aceita;sem mobilha;1300;4900;725;63;6988;6200;75188
1672;São Paulo;101;3;4;2;5;aceita;sem mobilha;1300;3120;340;40;4800;4420;53420
1673;São Paulo;87;3;2;4;14;aceita;sem mobilha;800;2000;67;26;2893;2800;33693
1674;Campinas;123;3;2;2;13;aceita;sem mobilha;834;2000;148;26;3008;2834;34182
1675;São Paulo;67;1;2;1;12;aceita;mobilhado;815;2479;117;32;3443;3294;39677
1676;São Paulo;200;3;3;8;-;aceita;sem mobilha;0;4480;509;68;5057;4480;54337
1677;São Paulo;48;2;1;1;8;aceita;sem mobilha;545;1720;0;22;2287;2265;27202
1678;Belo Horizonte;51;2;1;1;2;aceita;sem mobilha;260;700;27;10;997;960;11557
1679;São Paulo;54;2;1;1;5;não aceita;sem mobilha;245;1300;4;17;1566;1545;18561
1680;São Paulo;280;3;3;2;9;aceita;mobilhado;3000;5650;692;72;9414;8650;104564
1681;São Paulo;172;3;4;3;5;aceita;mobilhado;1650;7800;890;99;10440;9450;114389
1682;São Paulo;136;3;2;2;13;aceita;mobilhado;1259;15000;374;191;16820;16259;195673
1683;São Paulo;300;4;2;0;5;aceita;sem mobilha;6000;15000;834;191;22030;21000;253025
1684;São Paulo;26;1;1;0;6;aceita;mobilhado;250;2300;42;30;2622;2550;30672
1685;Rio de Janeiro;52;1;1;0;2;aceita;sem mobilha;477;1172;50;16;1715;1649;19854
1686;Rio de Janeiro;72;2;2;1;5;aceita;sem mobilha;500;1200;5;16;1721;1700;20421
1687;Rio de Janeiro;240;3;3;1;8;aceita;mobilhado;2300;7000;417;91;9808;9300;112108
1688;São Paulo;100;3;2;6;-;aceita;sem mobilha;0;7500;1000;113;8613;7500;91113
1689;Rio de Janeiro;145;3;3;2;4;não aceita;sem mobilha;4000;11960;0;155;16120;15960;191675
1690;São Paulo;60;2;2;2;-;aceita;sem mobilha;165;1950;67;30;2212;2115;25477
1691;Porto Alegre;260;2;2;1;3;aceita;sem mobilha;170;2000;25;30;2225;2170;26095
1692;Belo Horizonte;28;1;1;0;-;não aceita;mobilhado;550;1100;0;15;1665;1650;19815
1693;Campinas;25;1;1;0;3;não aceita;sem mobilha;300;1000;0;13;1313;1300;15613
1694;São Paulo;45;2;1;1;9;aceita;sem mobilha;300;1920;34;25;2279;2220;26699
1695;Belo Horizonte;115;3;2;2;3;aceita;sem mobilha;450;1950;133;26;2559;2400;28959
1696;Porto Alegre;48;2;1;0;4;aceita;sem mobilha;468;800;28;12;1308;1268;15256
1697;São Paulo;150;3;3;8;-;aceita;sem mobilha;0;8000;1084;121;9205;8000;97205
1698;São Paulo;160;4;3;2;-;aceita;sem mobilha;0;3800;250;58;4108;3800;45908
1699;São Paulo;700;4;4;4;-;aceita;sem mobilha;0;10000;21880;151;32040;10000;142031
1700;São Paulo;340;4;6;4;11;não aceita;sem mobilha;4800;7650;1667;97;14210;12450;151164
1701;Rio de Janeiro;25;1;1;0;3;aceita;sem mobilha;561;1513;0;7;2081;2074;24895
1702;São Paulo;79;3;2;2;11;aceita;sem mobilha;652;1290;90;17;2049;1942;23411
1703;São Paulo;35;1;1;1;2;aceita;sem mobilha;530;1600;134;21;2285;2130;25715
1704;São Paulo;270;3;4;0;1;aceita;sem mobilha;0;3500;165;45;3710;3500;42210
1705;São Paulo;156;3;4;3;7;não aceita;sem mobilha;1417;5000;500;64;6981;6417;77568
1706;São Paulo;50;1;1;1;8;aceita;mobilhado;600;2800;0;20;3420;3400;40820
1707;São Paulo;60;1;1;2;2;não aceita;sem mobilha;3398;1900;288;25;5611;5298;63889
1708;São Paulo;140;3;4;3;18;aceita;sem mobilha;1100;4000;489;51;5640;5100;61740
1709;São Paulo;53;1;1;0;2;não aceita;sem mobilha;170;1680;68;22;1940;1850;22290
1710;São Paulo;200;4;4;4;-;aceita;sem mobilha;0;4220;450;64;4734;4220;51154
1711;Belo Horizonte;125;4;2;2;1;não aceita;sem mobilha;1100;2100;267;28;3495;3200;38695
1712;São Paulo;160;3;4;3;-;aceita;mobilhado;0;9350;0;141;9491;9350;112341
1713;Campinas;300;4;5;3;9;aceita;sem mobilha;1650;9500;459;121;11730;11150;134380
1714;Belo Horizonte;175;3;3;2;4;aceita;mobilhado;400;3700;205;50;4355;4100;49455
1715;Rio de Janeiro;158;3;2;2;14;aceita;mobilhado;2000;8000;445;104;10550;10000;120549
1716;Rio de Janeiro;110;3;2;1;4;aceita;sem mobilha;1200;2850;259;37;4346;4050;48896
1717;São Paulo;168;3;2;2;-;aceita;sem mobilha;0;2500;152;38;2690;2500;30190
1718;São Paulo;120;3;1;2;-;não aceita;sem mobilha;0;3500;117;53;3670;3500;42170
1719;Belo Horizonte;230;4;3;4;7;aceita;mobilhado;3100;15000;1500;200;19800;18100;218900
1720;São Paulo;255;3;4;2;10;aceita;mobilhado;2600;6000;500;77;9177;8600;103777
1721;São Paulo;23;1;1;1;26;aceita;sem mobilha;472;2300;59;30;2861;2772;33353
1722;São Paulo;120;3;2;1;1;não aceita;sem mobilha;870;2500;160;32;3562;3370;40632
1723;São Paulo;45;1;1;2;8;aceita;sem mobilha;695;1800;170;23;2688;2495;30133
1724;Belo Horizonte;154;3;2;1;1;aceita;sem mobilha;300;2000;159;27;2486;2300;27786
1725;Rio de Janeiro;50;1;1;1;13;não aceita;mobilhado;0;4520;0;59;4579;4520;54299
